student,semester,course,period
32611,Fall,PhyEd 215,M3
32611,Winter,PhyEd 315,T3
32611,Spring,PhyEd 487,T1
35617,Winter,PhyEd 110,M4
35617,Fall,PhyEd 112,T1
32712,Fall,PhyEd 215,T4
32712,Winter,PhyEd 315,T4
32712,Spring,PhyEd 211,T4
32712,Fall,PhyEd 215,M2
33112,Spring,PhyEd 111,M2
33112,Spring,PhyEd 222,M2
32713,Winter,PhyEd 315,T1
32713,Spring,PhyEd 340,T4
32713,Winter,PhyEd 215,T1
31990,Fall,PhyEd 215,T2
31990,Winter,PhyEd 315,T2
32714,Spring,PhyEd 215,M2
32714,Winter,PhyEd 222,M1
34547,Spring,PhyEd 112,T2
34547,Fall,PhyEd 110,M3
33114,Spring,PhyEd 345,T4
33114,Winter,PhyEd 119,T1
33114,Winter,PhyEd 120,T1
34548,Spring,PhyEd 110,M4
32365,Spring,PhyEd 211,T4
32365,Winter,PhyEd 484,T4
32365,Winter,PhyEd 119,T1
32365,Winter,PhyEd 120,T1
32365,Spring,PhyEd 211,T4
32365,Winter,PhyEd 215,T3
34549,Fall,PhyEd 110,T2
34549,Spring,PhyEd 112,T2
34550,Fall,PhyEd 110,T2
34550,Fall,PhyEd 112,T1
34169,Winter,PhyEd 112,T3
34169,Winter,PhyEd 211,T1
34169,Winter,PhyEd 112,M2
34169,Winter,PhyEd 119,T4
34169,Winter,PhyEd 120,T1
34169,Winter,PhyEd 211,T1
34170,Fall,PhyEd 487,M2
34170,Spring,PhyEd 112,M2
34170,Fall,PhyEd 119,T1
34170,Winter,PhyEd 120,M1
34170,Winter,PhyEd 211,M1
34551,Fall,PhyEd 110,T1
35231,Spring,PhyEd 112,M3
35231,Winter,PhyEd 110,M3
33116,Fall,PhyEd 111,T4
33116,Fall,PhyEd 222,T4
33117,Winter,PhyEd 484,M1
33117,Spring,PhyEd 341,M3
31691,Winter,PhyEd 315,T3
31691,Fall,PhyEd 487,T2
31691,Winter,PhyEd 215,T3
34172,Winter,PhyEd 222,M2
34172,Fall,PhyEd 484,M3
34172,Winter,PhyEd 111,M2
31692,Fall,PhyEd 215,T1
31692,Fall,PhyEd 315,T1
33118,Winter,PhyEd 222,M4
33118,Winter,PhyEd 111,M4
33119,Winter,PhyEd 343,T4
33119,Winter,PhyEd 111,T4
33119,Winter,PhyEd 222,T4
35618,Winter,PhyEd 110,T1
35237,Fall,PhyEd 110,T2
35237,Spring,PhyEd 112,T4
34173,Spring,PhyEd 211,T1
34173,Spring,PhyEd 343,M2
34173,Spring,PhyEd 111,T3
34173,Spring,PhyEd 222,T3
31991,Fall,PhyEd 215,T4
31991,Winter,PhyEd 315,T4
31991,Winter,PhyEd 343,T3
31991,Spring,PhyEd 488,M4
35619,Fall,PhyEd 110,T4
34174,Fall,PhyEd 119,M4
34174,Fall,PhyEd 120,M4
34174,Winter,PhyEd 211,M4
34174,Fall,PhyEd 341,M4
34552,Winter,PhyEd 110,M1
34552,Winter,PhyEd 112,T3
34553,Winter,PhyEd 112,T4
34553,Spring,PhyEd 110,T2
33121,Winter,PhyEd 222,T3
33121,Winter,PhyEd 343,T3
33121,Winter,PhyEd 111,T3
35232,Winter,PhyEd 112,T1
35232,Spring,PhyEd 110,T2
32716,Spring,PhyEd 215,M2
32716,Spring,PhyEd 315,M2
32716,Fall,PhyEd 487,T2
33122,Winter,PhyEd 345,T2
33122,Fall,PhyEd 119,T4
33122,Fall,PhyEd 120,T4
33122,Winter,PhyEd 211,T4
31693,Fall,PhyEd 215,M3
31693,Fall,PhyEd 315,M3
31693,Spring,PhyEd 343,T2
31693,Fall,PhyEd 486,M3
33123,Winter,PhyEd 111,M1
33123,Winter,PhyEd 222,M1
33123,Winter,PhyEd 343,M4
34176,Winter,PhyEd 111,M4
34176,Winter,PhyEd 222,M4
35338,Fall,PhyEd 112,T2
35338,Spring,PhyEd 110,M2
32718,Fall,PhyEd 341,T3
32718,Winter,PhyEd 215,T3
32718,Winter,PhyEd 315,T3
31694,Spring,PhyEd 315,M2
31694,Spring,PhyEd 486,T4
31694,Spring,PhyEd 215,M2
33125,Winter,PhyEd 111,T4
33125,Winter,PhyEd 222,T4
33125,Winter,PhyEd 345,M3
35233,Fall,PhyEd 110,M1
35233,Fall,PhyEd 112,M1
30376,Fall,PhyEd 345,M2
30376,Spring,PhyEd 111,M1
30376,Spring,PhyEd 222,M1
34554,Winter,PhyEd 112,M3
34554,Winter,PhyEd 110,T4
33126,Fall,PhyEd 341,M2
33126,Spring,PhyEd 111,M3
33126,Spring,PhyEd 222,M3
34555,Fall,PhyEd 110,T4
34555,Fall,PhyEd 110,T4
33120,Winter,PhyEd 111,M4
33120,Winter,PhyEd 222,M4
33120,Winter,PhyEd 111,M4
33128,Fall,PhyEd 111,M2
33128,Fall,PhyEd 222,M2
33128,Spring,PhyEd 340,T4
31695,Spring,PhyEd 215,T3
31695,Spring,PhyEd 315,T3
31696,Winter,PhyEd 484,T3
31696,Spring,PhyEd 215,T3
31696,Spring,PhyEd 315,T3
35620,Fall,PhyEd 110,M4
31697,Spring,PhyEd 215,M4
31697,Spring,PhyEd 315,M4
32366,Fall,PhyEd 215,M4
32366,Fall,PhyEd 315,M4
33149,Fall,PhyEd 111,T2
33149,Winter,PhyEd 222,M3
33149,Fall,PhyEd 111,M3
33149,Winter,PhyEd 222,T4
34556,Spring,PhyEd 110,T3
34556,Fall,PhyEd 112,M3
34557,Spring,PhyEd 110,T1
34557,Fall,PhyEd 112,M3
31993,Winter,PhyEd 215,M2
31993,Winter,PhyEd 315,M2
31993,Fall,PhyEd 486,T4
35410,Winter,PhyEd 110,T4
35410,Fall,PhyEd 112,T3
33150,Winter,PhyEd 222,M1
33150,Spring,PhyEd 484,T4
33150,Winter,PhyEd 111,M1
35234,Fall,PhyEd 110,M4
33151,Spring,PhyEd 111,M3
33151,Spring,PhyEd 222,M3
33151,Spring,PhyEd 343,T2
28652,Spring,PhyEd 215,M2
28652,Spring,PhyEd 315,M2
28652,Winter,PhyEd 484,M3
28652,Spring,PhyEd 215,T3
33152,Spring,PhyEd 111,M4
33152,Spring,PhyEd 222,M4
31700,Winter,PhyEd 215,T1
31700,Winter,PhyEd 315,T1
31700,Spring,PhyEd 486,T2
34152,Spring,PhyEd 111,M4
34152,Spring,PhyEd 222,M4
31701,Winter,PhyEd 340,M3
31701,Fall,PhyEd 215,T3
31701,Fall,PhyEd 315,T3
31702,Winter,PhyEd 215,M4
31702,Winter,PhyEd 315,M4
34177,Fall,PhyEd 343,T1
34177,Spring,PhyEd 111,T2
34177,Spring,PhyEd 222,T2
32667,Spring,PhyEd 340,T3
32667,Spring,PhyEd 215,M2
32667,Spring,PhyEd 315,M2
33153,Spring,PhyEd 487,M2
33153,Fall,PhyEd 119,T1
33153,Fall,PhyEd 120,T1
33153,Winter,PhyEd 211,T4
33154,Spring,PhyEd 340,T4
33154,Spring,PhyEd 111,T3
33154,Spring,PhyEd 222,T3
31995,Spring,PhyEd 341,M2
31995,Winter,PhyEd 215,T4
31995,Winter,PhyEd 315,T4
35764,Winter,PhyEd 112,M4
35764,Spring,PhyEd 110,M4
34178,Fall,PhyEd 486,M4
34178,Fall,PhyEd 119,M4
34178,Fall,PhyEd 120,M4
34178,Winter,PhyEd 211,M4
34179,Spring,PhyEd 340,T3
34179,Spring,PhyEd 111,M2
34179,Spring,PhyEd 222,M2
31703,Fall,PhyEd 215,T3
31703,Fall,PhyEd 315,T3
31704,Winter,PhyEd 315,M3
31704,Spring,PhyEd 487,T2
31704,Winter,PhyEd 215,M3
34558,Fall,PhyEd 112,M1
34558,Spring,PhyEd 110,M4
33158,Spring,PhyEd 111,M2
33158,Spring,PhyEd 222,M2
33158,Winter,PhyEd 345,T2
35235,Winter Trng Pd,PhyEd 110,M1
35235,Fall,PhyEd 112,T2
33159,Fall,PhyEd 340,T2
33159,Fall,PhyEd 119,M1
33159,Winter,PhyEd 120,T1
33159,Winter,PhyEd 211,T1
32531,Winter,PhyEd 341,T3
32531,Fall,PhyEd 215,T2
32531,Winter,PhyEd 315,M3
33160,Winter,PhyEd 343,M2
34559,Fall,PhyEd 110,M4
33161,Spring,PhyEd 111,M4
33161,Spring,PhyEd 222,M4
34560,Fall,PhyEd 110,T1
33162,Spring,PhyEd 487,T4
33162,Winter,PhyEd 111,T4
33162,Winter,PhyEd 222,T4
34561,Spring,PhyEd 110,T4
34561,Fall,PhyEd 112,T2
31705,Fall,PhyEd 215,M4
31705,Fall,PhyEd 315,M4
32167,Fall,PhyEd 315,T2
32167,Spring,PhyEd 341,T4
32167,Fall,PhyEd 215,T2
32668,Spring,PhyEd 215,M3
32668,Spring,PhyEd 315,M3
32668,Spring,PhyEd 487,T4
31997,Fall,PhyEd 215,M3
31997,Fall,PhyEd 315,M3
31997,Spring,PhyEd 487,M2
31998,Fall,PhyEd 215,T4
31998,Fall,PhyEd 341,T4
31999,Fall,PhyEd 215,T2
31999,Winter,PhyEd 315,M2
31999,Spring,PhyEd 486,T4
32000,Winter,PhyEd 343,T4
32000,Winter,PhyEd 215,T1
32000,Winter,PhyEd 315,T1
34563,Spring,PhyEd 110,T2
34563,Spring,PhyEd 112,T1
35752,Winter,PhyEd 110,M1
35752,Spring,PhyEd 112,M3
34564,Winter,PhyEd 110,M4
32001,Winter,PhyEd 315,M1
32001,Spring,PhyEd 487,T2
32001,Winter,PhyEd 215,M1
34565,Fall,PhyEd 110,T4
31706,Spring,PhyEd 215,M2
31706,Spring,PhyEd 315,M2
31706,Spring,PhyEd 341,M2
35621,Spring,PhyEd 110,M3
35621,Spring,PhyEd 112,M2
33163,Spring,PhyEd 111,M2
33163,Spring,PhyEd 222,M2
33163,Fall,PhyEd 486,M4
33164,Spring,PhyEd 341,M2
33164,Fall,PhyEd 111,T2
33164,Fall,PhyEd 222,T2
34566,Spring,PhyEd 110,T4
34567,Winter,PhyEd 119,M4
34567,Spring,PhyEd 120,M4
34567,Spring,PhyEd 211,M4
34567,Winter,PhyEd 110,T4
32721,Spring,PhyEd 211,T1
32721,Fall,PhyEd 345,M2
33166,Fall,PhyEd 111,M2
33166,Winter,PhyEd 222,T2
33166,Winter,PhyEd 484,M3
33167,Fall,PhyEd 111,M2
33167,Fall,PhyEd 222,M2
34568,Fall,PhyEd 110,M4
34569,Fall,PhyEd 110,T3
34569,Winter,PhyEd 112,M3
35622,Winter Trng Pd,PhyEd 110,M1
32168,Spring,PhyEd 215,M2
32168,Spring,PhyEd 315,M2
32168,Fall,PhyEd 486,T4
34570,Fall,PhyEd 110,M2
34570,Fall,PhyEd 112,M2
33169,Fall,PhyEd 119,T1
33169,Winter,PhyEd 120,M1
33169,Winter,PhyEd 211,M1
33169,Fall,PhyEd 119,T4
33169,Fall,PhyEd 120,T1
34571,Spring,PhyEd 110,M2
34571,Winter,PhyEd 112,T3
31708,Winter,PhyEd 215,M3
31708,Winter,PhyEd 315,M3
31708,Spring,PhyEd 488,M4
34180,Fall,PhyEd 111,T4
34180,Winter,PhyEd 211,M4
34180,Fall,PhyEd 341,M4
32170,Fall,PhyEd 215,T4
32170,Winter,PhyEd 315,T2
32722,Spring,PhyEd 215,M4
32722,Spring,PhyEd 315,M4
33171,Fall,PhyEd 111,M2
33171,Fall,PhyEd 222,M2
33171,Fall,PhyEd 110,T3
33171,Winter,PhyEd 341,M3
33172,Fall,PhyEd 111,M2
33172,Fall,PhyEd 222,M2
33172,Winter,PhyEd 343,M4
35623,Winter,PhyEd 110,M2
35623,Winter,PhyEd 112,M3
33173,Fall,PhyEd 111,T1
33173,Fall,PhyEd 222,T1
33173,Spring,PhyEd 341,T3
34035,Winter,PhyEd 111,M3
34035,Winter,PhyEd 222,M3
34035,Winter,PhyEd 484,M3
34035,Fall,PhyEd 484,T3
33174,Fall,PhyEd 343,M1
33174,Winter,PhyEd 119,M1
33174,Winter,PhyEd 120,T4
33174,Winter,PhyEd 211,T4
32932,Spring,PhyEd 341,M2
34572,Spring,PhyEd 110,T3
34572,Spring,PhyEd 110,T2
32724,Winter,PhyEd 215,T2
32724,Winter,PhyEd 315,T2
32724,Winter,PhyEd 215,T1
34573,Winter,PhyEd 110,M3
34573,Spring,PhyEd 112,M2
33176,Fall,PhyEd 111,T4
33176,Fall,PhyEd 222,T4
33177,Winter,PhyEd 222,T4
33177,Fall,PhyEd 487,T2
33177,Winter,PhyEd 111,T4
34574,Fall,PhyEd 110,M4
34575,Fall,PhyEd 110,M4
34576,Fall,PhyEd 110,M1
34576,Fall,PhyEd 112,M3
31711,Winter,PhyEd 484,M1
31711,Winter,PhyEd 215,M3
31711,Winter,PhyEd 315,M3
33178,Winter,PhyEd 111,M1
33178,Spring,PhyEd 222,T4
35624,Fall,PhyEd 110,T1
34577,Winter Trng Pd,PhyEd 110,M1
32368,Spring,PhyEd 215,T4
32368,Spring,PhyEd 315,T4
34578,Fall,PhyEd 110,M2
34578,Fall,PhyEd 112,M1
32725,Winter,PhyEd 215,M4
32725,Winter,PhyEd 315,M4
32669,Fall,PhyEd 215,M3
32669,Fall,PhyEd 315,M3
32669,Winter,PhyEd 222,T2
32669,Spring,PhyEd 488,T3
32498,Winter,PhyEd 315,M2
32498,Spring,PhyEd 343,M2
32498,Winter,PhyEd 215,M2
34579,Winter,PhyEd 110,T3
34579,Winter,PhyEd 112,T2
34580,Winter,PhyEd 112,T3
32171,Fall,PhyEd 341,M2
32171,Winter,PhyEd 215,M3
32171,Winter,PhyEd 315,M3
33180,Fall,PhyEd 111,T4
33180,Fall,PhyEd 222,T4
35625,Winter,PhyEd 112,M4
33181,Winter,PhyEd 111,M2
33181,Winter,PhyEd 222,M2
33181,Fall,PhyEd 343,T4
34182,Spring,PhyEd 111,T1
34182,Spring,PhyEd 222,T1
33182,Fall,PhyEd 488,M3
33182,Winter,PhyEd 343,T4
33183,Spring,PhyEd 222,M2
33183,Fall,PhyEd 341,T4
33183,Spring,PhyEd 111,M2
33184,Fall,PhyEd 111,T1
33184,Winter,PhyEd 222,T1
33184,Winter,PhyEd 484,T2
33185,Winter,PhyEd 345,M3
33185,Fall,PhyEd 119,T1
33185,Fall,PhyEd 120,T1
33185,Winter,PhyEd 211,M1
32670,Fall,PhyEd 315,T1
32670,Spring,PhyEd 343,T3
32670,Fall,PhyEd 215,T1
32369,Fall,PhyEd 341,T3
32369,Winter,PhyEd 215,M2
32369,Winter,PhyEd 315,M2
32003,Winter,PhyEd 315,T3
32003,Winter,PhyEd 484,M3
32003,Fall,PhyEd 215,T1
32370,Fall,PhyEd 488,M3
34583,Spring,PhyEd 112,M3
34583,Spring,PhyEd 110,M3
32371,Fall,PhyEd 215,M3
32371,Spring,PhyEd 215,T3
33186,Fall,PhyEd 111,T4
33186,Fall,PhyEd 222,T4
32004,Spring,PhyEd 215,M2
32004,Spring,PhyEd 315,M2
32004,Winter,PhyEd 484,M3
34584,Fall,PhyEd 110,T1
34584,Fall,PhyEd 112,T2
34585,Fall,PhyEd 110,M4
33187,Spring,PhyEd 487,M4
33187,Fall,PhyEd 111,T3
33187,Winter,PhyEd 222,M1
33188,Winter,PhyEd 111,T3
33188,Winter,PhyEd 222,T3
31712,Winter,PhyEd 315,T4
31712,Fall,PhyEd 487,M4
31712,Winter,PhyEd 215,T4
32172,Winter,PhyEd 343,M4
32172,Winter,PhyEd 215,T4
32172,Winter,PhyEd 315,T4
34231,Winter,PhyEd 340,M4
34231,Winter,PhyEd 119,T4
34231,Spring,PhyEd 120,T4
34231,Winter,PhyEd 340,M3
34392,Spring,PhyEd 111,T4
34392,Spring,PhyEd 222,T4
34587,Fall,PhyEd 110,M2
34587,Fall,PhyEd 112,M2
35626,Winter,PhyEd 110,M4
33189,Fall,PhyEd 111,T1
33189,Fall,PhyEd 222,T1
34588,Winter,PhyEd 112,M2
34588,Fall,PhyEd 110,M3
33190,Spring,PhyEd 488,T3
33190,Winter,PhyEd 111,T1
33190,Winter,PhyEd 222,T1
34589,Winter,PhyEd 119,T4
34589,Winter,PhyEd 120,T4
34589,Spring,PhyEd 211,M1
34589,Winter,PhyEd 112,M3
33801,Winter,PhyEd 111,T3
33801,Winter,PhyEd 222,T3
33801,Fall,PhyEd 110,M3
34590,Fall,PhyEd 112,T3
34590,Spring,PhyEd 110,T3
34591,Fall,PhyEd 112,M1
34591,Spring,PhyEd 110,T1
31713,Winter,PhyEd 315,M3
31713,Fall,PhyEd 488,T3
31713,Winter,PhyEd 215,M3
34594,Winter,PhyEd 110,T1
34594,Winter,PhyEd 112,M3
33192,Fall,PhyEd 345,M4
33192,Fall,PhyEd 119,M1
33192,Winter,PhyEd 120,M1
33192,Winter,PhyEd 211,M1
33193,Fall,PhyEd 112,T3
33193,Winter,PhyEd 341,T3
32173,Fall,PhyEd 215,T3
32173,Fall,PhyEd 315,T3
32173,Winter,PhyEd 341,T3
32173,Spring,PhyEd 488,T2
32499,Fall,PhyEd 215,M1
32499,Winter,PhyEd 315,T4
32499,Winter,PhyEd 484,M4
31714,Fall,PhyEd 487,T4
31714,Fall,PhyEd 215,M3
31714,Fall,PhyEd 315,M3
31715,Spring,PhyEd 315,M3
31715,Winter,PhyEd 341,M2
31715,Spring,PhyEd 215,M3
32933,Spring,PhyEd 215,T2
32933,Spring,PhyEd 315,T2
32933,Fall,PhyEd 340,M2
33194,Fall,PhyEd 111,M4
33194,Fall,PhyEd 111,M4
33194,Fall,PhyEd 222,M4
32174,Winter,PhyEd 215,T2
32174,Winter,PhyEd 315,T2
34595,Winter,PhyEd 112,M1
34595,Fall,PhyEd 110,M3
33196,Winter,PhyEd 111,T3
33196,Winter,PhyEd 222,T3
33196,Spring,PhyEd 345,T4
34232,Winter,PhyEd 345,M2
34232,Spring,PhyEd 111,M3
34232,Spring,PhyEd 222,M3
33197,Fall,PhyEd 222,T2
33197,Fall,PhyEd 341,T2
33197,Fall,PhyEd 111,T2
33198,Fall,PhyEd 111,T3
33198,Fall,PhyEd 222,T3
32372,Spring,PhyEd 315,M2
32372,Winter,PhyEd 340,T3
32372,Spring,PhyEd 215,M2
32006,Winter,PhyEd 344,M3
32006,Winter,PhyEd 215,T4
32006,Winter,PhyEd 315,T4
34597,Fall,PhyEd 112,T3
34597,Fall,PhyEd 110,T3
32532,Fall,PhyEd 215,M2
32532,Fall,PhyEd 315,M2
32532,Winter,PhyEd 341,M2
32727,Fall,PhyEd 484,T3
32727,Winter,PhyEd 215,M2
32727,Winter,PhyEd 315,M2
33199,Spring,PhyEd 343,T2
33199,Winter,PhyEd 111,M2
33199,Winter,PhyEd 222,M2
33200,Fall,PhyEd 111,M3
33200,Fall,PhyEd 222,M3
33200,Fall,PhyEd 341,M3
31716,Spring,PhyEd 486,T4
31716,Fall,PhyEd 215,T2
31716,Fall,PhyEd 315,T2
32728,Winter,PhyEd 215,M2
32728,Winter,PhyEd 315,M2
32728,Fall,PhyEd 340,M3
32728,Spring,PhyEd 488,M3
35628,Spring,PhyEd 110,M1
35628,Spring,PhyEd 112,T2
34598,Spring,PhyEd 112,T2
34598,Winter,PhyEd 110,T3
35629,Spring,PhyEd 110,M2
33201,Fall,PhyEd 488,T2
33201,Winter,PhyEd 111,T2
33201,Winter,PhyEd 222,T2
33202,Spring,PhyEd 111,T1
33202,Spring,PhyEd 222,T1
33202,Spring,PhyEd 341,T4
33202,Spring,PhyEd 111,M1
33202,Spring,PhyEd 222,T1
32533,Winter,PhyEd 315,M4
32533,Winter,PhyEd 215,M4
32500,Winter,PhyEd 215,T4
31718,Fall,PhyEd 340,M4
31718,Fall,PhyEd 215,M1
31718,Fall,PhyEd 315,M1
35236,Winter,PhyEd 110,M3
32007,Winter,PhyEd 215,M3
32374,Spring,PhyEd 215,T4
32374,Spring,PhyEd 315,M4
34511,Winter,PhyEd 112,T2
34511,Fall,PhyEd 110,M3
32729,Winter,PhyEd 315,M4
32729,Winter,PhyEd 215,M4
34512,Fall,PhyEd 110,M4
32008,Spring,PhyEd 215,T2
32008,Spring,PhyEd 315,T2
32008,Winter,PhyEd 343,M3
32730,Fall,PhyEd 215,M3
32730,Fall,PhyEd 315,M3
32730,Spring,PhyEd 487,T2
35630,Fall,PhyEd 110,M2
35631,Winter,PhyEd 110,M4
34513,Winter,PhyEd 112,T2
34513,Winter,PhyEd 110,M2
34371,Spring,PhyEd 111,M4
34371,Spring,PhyEd 222,M4
32009,Fall,PhyEd 315,T1
32009,Spring,PhyEd 343,T2
32009,Fall,PhyEd 215,T1
34515,Winter,PhyEd 112,T2
34515,Winter Trng Pd,PhyEd 110,M2
31719,Fall,PhyEd 215,T4
31719,Fall,PhyEd 315,T4
33130,Fall,PhyEd 487,T4
33130,Spring,PhyEd 111,M2
33130,Spring,PhyEd 222,M2
33131,Fall,PhyEd 111,M4
33131,Fall,PhyEd 222,M4
34516,Spring,PhyEd 112,M2
34516,Spring,PhyEd 110,M1
34517,Fall,PhyEd 110,M4
34518,Fall,PhyEd 110,M4
31720,Winter,PhyEd 215,M4
31720,Winter,PhyEd 315,M4
31720,Winter,PhyEd 215,M4
31721,Winter,PhyEd 215,M4
31721,Winter,PhyEd 315,M4
31721,Winter,PhyEd 215,M4
33132,Fall,PhyEd 111,M1
33132,Fall,PhyEd 222,M1
33132,Winter,PhyEd 343,T1
35238,Fall,PhyEd 110,T3
35238,Winter,PhyEd 112,M3
34519,Fall,PhyEd 110,T1
34519,Winter,PhyEd 112,M3
33134,Spring,PhyEd 111,M3
33134,Spring,PhyEd 222,M3
31722,Spring,PhyEd 344,M2
31722,Spring,PhyEd 215,T2
31722,Spring,PhyEd 315,T2
33135,Winter,PhyEd 343,T4
33135,Fall,PhyEd 111,M1
33135,Fall,PhyEd 222,M1
32010,Fall,PhyEd 215,M1
32010,Fall,PhyEd 315,M1
34155,Spring,PhyEd 111,M4
34155,Spring,PhyEd 222,M4
32175,Winter,PhyEd 315,T3
32175,Fall,PhyEd 488,M2
32175,Winter,PhyEd 215,T3
34233,Spring,PhyEd 111,T1
34233,Spring,PhyEd 222,T1
34233,Winter,PhyEd 110,T3
34233,Spring,PhyEd 486,T4
32375,Spring,PhyEd 488,M4
32375,Winter,PhyEd 215,M1
32375,Winter,PhyEd 315,M1
32011,Spring,PhyEd 341,M4
32011,Spring,PhyEd 215,T3
32011,Spring,PhyEd 315,T3
32012,Winter,PhyEd 215,M1
32012,Winter,PhyEd 315,M1
32012,Spring,PhyEd 487,M4
33136,Fall,PhyEd 111,M2
33136,Fall,PhyEd 222,M2
31723,Fall,PhyEd 215,T1
31723,Fall,PhyEd 315,T1
31723,Winter,PhyEd 215,M2
31723,Fall,PhyEd 315,T1
33139,Spring,PhyEd 111,M1
33139,Spring,PhyEd 222,M1
34520,Fall,PhyEd 110,T1
34520,Winter,PhyEd 112,T3
33140,Fall,PhyEd 222,T3
33140,Fall,PhyEd 340,T3
33140,Fall,PhyEd 111,T3
33140,Fall,PhyEd 222,T3
35307,Winter,PhyEd 110,M4
34036,Fall,PhyEd 111,M4
34036,Fall,PhyEd 222,M4
32013,Winter,PhyEd 484,T4
32013,Winter,PhyEd 215,T2
32013,Winter,PhyEd 315,T2
33141,Winter,PhyEd 111,M2
33141,Winter,PhyEd 222,M2
33141,Winter,PhyEd 343,T4
31724,Fall,PhyEd 486,T3
31724,Fall,PhyEd 215,T3
31724,Fall,PhyEd 315,T3
32615,Winter,PhyEd 215,T2
32615,Winter,PhyEd 315,T2
33142,Fall,PhyEd 111,T2
33142,Winter,PhyEd 222,T3
33142,Winter,PhyEd 341,T2
34521,Fall,PhyEd 112,M3
34521,Fall,PhyEd 110,T4
32671,Spring,PhyEd 315,T1
32671,Spring,PhyEd 487,M4
32671,Spring,PhyEd 215,T1
34522,Winter,PhyEd 110,M2
34522,Winter,PhyEd 112,M2
35633,Fall,PhyEd 110,M1
33144,Fall,PhyEd 111,M3
33144,Fall,PhyEd 222,M3
33144,Fall,PhyEd 340,T2
34523,Fall,PhyEd 112,T1
34523,Spring,PhyEd 110,M1
33145,Spring,PhyEd 222,M1
33145,Spring,PhyEd 343,T3
33145,Winter,PhyEd 119,T4
33145,Winter,PhyEd 120,T4
34524,Winter,PhyEd 110,M1
35634,Fall,PhyEd 110,M2
35634,Winter,PhyEd 112,T4
32376,Spring,PhyEd 488,T3
32376,Fall,PhyEd 215,M1
32376,Winter,PhyEd 315,M2
34234,Winter,PhyEd 111,M1
34234,Winter,PhyEd 222,M1
34234,Winter,PhyEd 111,T1
34234,Winter,PhyEd 222,M1
33146,Winter,PhyEd 345,T3
33146,Fall,PhyEd 111,M2
33146,Fall,PhyEd 222,M2
35635,Fall,PhyEd 112,T2
35635,Spring,PhyEd 110,M4
34411,Spring,PhyEd 111,T4
34411,Spring,PhyEd 222,T4
32732,Spring,PhyEd 215,T1
32732,Spring,PhyEd 315,T1
32732,Winter,PhyEd 341,M2
33148,Fall,PhyEd 111,T4
33148,Fall,PhyEd 222,T4
33295,Winter,PhyEd 345,T3
33295,Fall,PhyEd 111,M1
33295,Winter,PhyEd 222,M3
31725,Fall,PhyEd 215,T1
31725,Fall,PhyEd 315,T1
31725,Spring,PhyEd 486,M2
34525,Spring,PhyEd 110,T1
34525,Fall,PhyEd 112,M1
32733,Spring,PhyEd 215,T2
32733,Spring,PhyEd 315,T2
32733,Fall,PhyEd 486,M4
32734,Fall,PhyEd 215,T4
32734,Fall,PhyEd 315,T4
32377,Fall,PhyEd 215,M2
32377,Fall,PhyEd 487,M2
33296,Fall,PhyEd 344,M4
33296,Fall,PhyEd 111,M3
33296,Fall,PhyEd 222,M3
34527,Winter,PhyEd 112,M3
34527,Spring,PhyEd 110,T3
31726,Fall,PhyEd 215,M4
31726,Fall,PhyEd 315,M4
34528,Fall,PhyEd 110,T3
34528,Winter,PhyEd 112,M2
32616,Fall,PhyEd 488,M3
32616,Winter,PhyEd 215,M2
32616,Winter,PhyEd 315,M2
33297,Fall,PhyEd 484,T3
33297,Winter,PhyEd 111,T3
33297,Winter,PhyEd 222,T3
35309,Spring,PhyEd 110,T2
35309,Spring,PhyEd 112,T2
34235,Winter,PhyEd 343,M2
34235,Fall,PhyEd 119,M4
34235,Winter,PhyEd 120,T4
34235,Winter,PhyEd 211,T4
33298,Winter,PhyEd 111,T4
33298,Winter,PhyEd 222,T4
33298,Winter,PhyEd 344,T4
33299,Winter,PhyEd 111,M3
33299,Winter,PhyEd 222,M3
33299,Winter,PhyEd 345,M3
32501,Spring,PhyEd 488,M3
32501,Winter,PhyEd 215,M1
32501,Winter,PhyEd 315,M1
33300,Winter,PhyEd 345,M2
33300,Fall,PhyEd 111,T3
33300,Fall,PhyEd 222,T3
34529,Winter Trng Pd,PhyEd 110,M3
34530,Winter,PhyEd 112,M3
34530,Spring,PhyEd 110,T1
35340,Winter,PhyEd 110,M4
35340,Spring,PhyEd 112,T3
33301,Winter,PhyEd 222,M2
33301,Fall,PhyEd 340,T4
33301,Fall,PhyEd 111,M3
35753,Spring,PhyEd 112,M4
35753,Fall,PhyEd 110,M4
34531,Fall,PhyEd 110,T1
31727,Fall,PhyEd 215,T1
31727,Winter,PhyEd 315,M1
31727,Fall,PhyEd 486,M4
33302,Spring,PhyEd 111,T3
33302,Spring,PhyEd 222,T3
33302,Fall,PhyEd 484,T4
35310,Fall,PhyEd 110,M1
34532,Winter,PhyEd 110,T1
31728,Fall,PhyEd 215,M1
31728,Winter,PhyEd 315,M2
31728,Spring,PhyEd 487,T2
35637,Winter,PhyEd 110,M4
34533,Fall,PhyEd 112,T1
34533,Spring,PhyEd 110,M2
32176,Fall,PhyEd 315,T3
32176,Fall,PhyEd 341,M3
32176,Fall,PhyEd 215,T3
32015,Spring,PhyEd 315,M1
32015,Fall,PhyEd 487,T2
32015,Spring,PhyEd 215,M1
32015,Spring,PhyEd 315,M1
31134,Fall,PhyEd 487,T4
