Cadet PID,Year,Squadron,Major,Sec Major,Sport Code,Sport Gender
35296,2022,33,MathApp,No Major,FB,M
36163,2023,3,No Major,No Major,SW,F
31491,2021,14,MSS,No Major,FB,M
36603,2023,13,No Major,No Major,,
31882,2020,35,ElEngr,No Major,,
36794,2023,11,No Major,No Major,,
32073,2020,9,Economics,No Major,,
32331,2020,31,SysEngr,No Major,,
31883,2020,4,OpsRsch,No Major,BA,M
35297,2022,40,AstroEngr,No Major,,
31884,2020,1,Management,No Major,,
34684,2022,2,Physics,No Major,,
36846,2023,13,No Major,No Major,,
35298,2022,6,ElCompEngr,No Major,,
32074,2020,24,BehSci,No Major,,
37164,2021,14,No Major,No Major,,
34685,2022,24,MathApp,No Major,,
32765,2020,5,Management,No Major,,
36164,2023,23,No Major,No Major,TR,F
32332,2020,12,CompSci,No Major,,
34687,2022,26,Management,No Major,,
36165,2023,17,No Major,No Major,,
35299,2022,12,BehSci,No Major,,
36993,2023,4,No Major,No Major,,
34688,2022,16,Philosophy,No Major,,
33382,2021,5,PolSci,No Major,SO,F
31885,2020,14,Management,No Major,,
33383,2021,4,PolSci,No Major,,
33384,2021,25,GeoSci,No Major,,
36166,2023,26,No Major,No Major,SO,M
36167,2023,33,No Major,No Major,,
31886,2020,30,OpsRsch,No Major,,
36604,2023,4,No Major,No Major,,
32766,2020,22,English,No Major,,
36994,2023,38,No Major,No Major,FB,M
36847,2023,14,No Major,No Major,,
31887,2020,34,Biology,No Major,,
34689,2022,3,GeoSci,No Major,,
34690,2022,19,Management,No Major,BA,M
34691,2022,7,CompSci,No Major,,
36010,2023,31,No Major,No Major,CC,M
34046,2021,38,Management,No Major,,
31888,2020,5,AstroEngr,No Major,,
36995,2023,9,No Major,No Major,,
36996,2023,28,No Major,No Major,,
33385,2021,15,PolSci,No Major,,
36627,2023,24,No Major,No Major,,
32564,2020,7,Biology,No Major,,
36011,2023,12,No Major,No Major,,
28720,2018,6,Management,No Major,,
31889,2020,15,BioChem,No Major,SW,F
34692,2022,18,No Major,No Major,,
36012,2023,19,No Major,No Major,,
34693,2022,21,SysEngr,No Major,,
35539,2022,28,No Major,No Major,FB,M
32192,2020,22,PolSci,No Major,,
34694,2022,25,No Major,No Major,,
33387,2021,10,Physics,No Major,,
33388,2021,35,CyberSci,No Major,,
33389,2021,6,Biology,No Major,WP,M
33390,2021,23,FAS-PolSci,No Major,,
32333,2020,19,Economics,No Major,,
36997,2023,38,No Major,No Major,CL,M
32334,2020,16,BehSci,No Major,,
36014,2023,21,No Major,No Major,,
32335,2020,32,AstroEngr,No Major,,
35300,2022,18,No Major,No Major,,
34273,2021,20,Management,No Major,FN,M
35540,2022,23,No Major,No Major,FB,M
32336,2020,31,Management,Economics,,
33392,2021,1,CompSci,No Major,,
32337,2020,7,AeroEngr,No Major,,
33393,2021,25,HistoryAme,No Major,,
36998,2023,5,No Major,No Major,FB,M
34696,2022,35,ElCompEngr,No Major,,
32193,2020,19,MechEngr,No Major,,
33394,2021,12,MSS,No Major,,
33395,2021,35,FAS-PolSci,No Major,,
33396,2021,36,CyberSci,No Major,,
36015,2023,34,No Major,No Major,,
33397,2021,6,FAS-PolSci,No Major,,
36016,2023,22,No Major,No Major,,
35301,2022,8,No Major,No Major,,
34697,2022,33,AeroEngr,No Major,,
33398,2021,32,MechEngr,No Major,,
36628,2023,2,No Major,No Major,LX,M
33399,2021,6,MSS,No Major,,
33400,2021,5,AeroEngr,No Major,,
33402,2021,3,LegalStu,No Major,,
36848,2023,3,No Major,No Major,,
36017,2023,32,No Major,No Major,,
36018,2023,5,No Major,No Major,,
36849,2023,13,No Major,No Major,,
34699,2022,9,CompSci,No Major,WR,M
36019,2023,22,No Major,No Major,BA,M
33404,2021,10,PolSci,No Major,,
34700,2022,10,No Major,No Major,,
37077,2023,23,No Major,No Major,,
35302,2022,31,Physics,No Major,,
35541,2022,28,GeoSci,No Major,,
34274,2021,26,Biology,No Major,,
34701,2022,26,Biology,No Major,,
35303,2022,3,AstroEngr,MathApp,,
35542,2022,38,Biology,No Major,BX,M
32185,2020,33,AstroEngr,No Major,,
36020,2023,33,No Major,No Major,,
36629,2023,8,No Major,No Major,FB,M
36630,2023,15,No Major,No Major,,
36850,2023,25,No Major,No Major,TR,F
35304,2022,8,Management,No Major,,
33405,2021,16,CivEngr,No Major,,
35415,2022,19,AstroEngr,Chemistry,,
32565,2020,39,Physics,AstroEngr,,
34275,2021,13,Management,No Major,,
31891,2020,25,OpsRsch,No Major,,
31892,2020,16,GeoSci,No Major,FN,M
33406,2021,4,Management,No Major,,
36022,2023,27,No Major,No Major,,
34847,2022,20,AeroEngr,No Major,SW,M
34848,2022,30,No Major,No Major,LX,M
32685,2020,25,Management,No Major,TR,M
33408,2021,36,FAS-PolSci,No Major,,
36024,2023,4,No Major,No Major,,
35543,2022,15,GeoSci,No Major,FB,M
34276,2021,6,OpsRsch,No Major,,
36025,2023,32,No Major,No Major,LX,M
34849,2022,36,CompSci,No Major,,
36026,2023,35,No Major,No Major,,
34850,2022,13,BehSci,No Major,,
36999,2023,29,No Major,No Major,BX,M
33410,2021,13,SpaceOps,No Major,,
34851,2022,14,MechEngr,No Major,,
34852,2022,5,AstroEngr,No Major,,
32618,2020,35,BehSci,No Major,,
34853,2022,10,No Major,No Major,,
35544,2022,29,AeroEngr,No Major,,
34855,2022,24,No Major,No Major,,
32518,2020,6,GeoSci,No Major,,
32338,2020,16,Biology,No Major,,
32194,2020,18,Management,No Major,,
36631,2023,6,No Major,No Major,,
33414,2021,36,GeoSci,No Major,FN,F
33415,2021,30,SysEngr,No Major,TR,M
33013,2020,26,GeoSci,No Major,,
34856,2022,22,CompSci,CyberSci,,
32195,2020,20,PolSci,No Major,,
34858,2022,31,No Major,No Major,SO,F
33416,2021,7,Management,No Major,,
36027,2023,33,No Major,No Major,BA,M
34859,2022,9,BehSci,No Major,,
34860,2022,10,SpaceOps,No Major,,
37078,2023,31,No Major,No Major,BA,M
31893,2020,38,MechEngr,No Major,,
34861,2022,40,Management,No Major,SW,M
34862,2022,1,Physics,No Major,,
31894,2020,29,CyberSci,No Major,,
34863,2022,21,MSS,No Major,,
33417,2021,26,AstroEngr,No Major,,
32186,2021,12,CompSci,No Major,,
33418,2021,2,Management,No Major,BB,F
32620,2020,36,CivEngr,No Major,,
32187,2020,7,FAS-Hist,No Major,,
32519,2020,31,Management,No Major,,
31896,2020,17,Biology,No Major,,
35306,2022,20,AstroEngr,No Major,,
34864,2022,30,No Major,No Major,,
33419,2021,7,SpaceOps,No Major,,
35545,2022,12,CompSci,No Major,TR,M
34865,2022,19,AstroEngr,No Major,,
34866,2022,13,Physics,No Major,,
36028,2023,28,FAS-Hist,No Major,,
36632,2023,39,No Major,No Major,FB,M
31897,2020,20,Management,No Major,,
33420,2021,34,OpsRsch,No Major,FB,M
36633,2023,24,No Major,No Major,,
32520,2020,16,LegalStu,No Major,,
36029,2023,34,No Major,No Major,,
34278,2021,7,AeroEngr,No Major,FB,M
36795,2023,36,No Major,No Major,FN,M
33421,2021,19,CompSci,CyberSci,,
36030,2023,5,No Major,No Major,,
34867,2022,17,ElCompEngr,No Major,,
36031,2023,7,No Major,No Major,,
35478,2022,22,No Major,No Major,GY,M
33422,2021,17,AeroEngr,No Major,,
32196,2020,36,LegalStu,No Major,,
31898,2020,33,AeroEngr,No Major,,
32197,2020,13,CompSci,No Major,,
33567,2021,20,EngrChem,No Major,,
36032,2023,19,No Major,No Major,,
32687,2020,35,CivEngr,No Major,WP,M
34868,2022,32,Economics,No Major,,
34279,2021,17,SysEngr,No Major,FB,M
34047,2021,33,Management,No Major,,
36033,2023,16,No Major,No Major,,
36034,2023,15,No Major,No Major,,
33568,2021,17,LegalStu,No Major,,
33569,2021,6,AstroEngr,No Major,,
36035,2023,22,No Major,No Major,,
37000,2023,15,No Major,No Major,,
35416,2022,27,MechEngr,No Major,,
32198,2020,2,Biology,No Major,,
33570,2021,37,ElEngr,No Major,,
34869,2022,5,No Major,No Major,,
33572,2021,25,MathApp,No Major,FB,M
33573,2021,27,SysEngr,No Major,,
35249,2022,24,CompSci,No Major,,
33574,2021,13,Management,No Major,,
33575,2021,1,Management,No Major,IH,M
37149,2021,35,No Major,No Major,,
34280,2021,23,BehSci,No Major,,
33576,2021,19,MechEngr,No Major,,
36036,2023,23,No Major,No Major,TR,M
34281,2021,12,GeoSci,No Major,WP,M
33577,2021,34,BioChem,No Major,,
35250,2022,37,Biology,No Major,,
34870,2022,1,AstroEngr,No Major,,
33579,2021,17,FAS-PolSci,No Major,,
36037,2023,26,No Major,No Major,,
34871,2022,4,English,No Major,CL,F
34872,2022,18,AeroEngr,No Major,,
36851,2023,25,No Major,No Major,,
33580,2021,27,FAS-PolSci,No Major,TN,F
33581,2021,37,MSS,No Major,,
34873,2022,28,No Major,No Major,,
34048,2021,29,OpsRsch,No Major,,
33582,2021,37,Economics,No Major,,
36038,2023,35,No Major,No Major,,
36634,2023,6,No Major,No Major,,
34874,2022,38,Biology,No Major,,
32769,2020,10,CivEngr,No Major,FB,M
33583,2021,24,Philosophy,No Major,,
33584,2021,40,Management,No Major,BA,M
34875,2022,25,HistoryMil,No Major,FB,M
33585,2021,7,Management,No Major,,
37001,2023,39,No Major,No Major,BB,M
36039,2023,36,No Major,No Major,,
34877,2022,14,FAS-MSS,No Major,,
29134,2020,30,FAS-Hist,No Major,,
36636,2023,2,No Major,No Major,,
36040,2023,10,AeroEngr,No Major,,
33586,2021,27,HistoryAme,No Major,,
31902,2020,6,ElEngr,No Major,,
37002,2023,20,No Major,No Major,FB,M
32521,2020,3,FAS-PolSci,PolSci,,
34049,2021,21,AstroEngr,No Major,,
31904,2020,32,AstroEngr,No Major,,
33588,2021,13,CivEngr,No Major,,
32200,2020,25,Economics,No Major,,
35251,2022,23,No Major,No Major,,
34878,2022,34,Economics,No Major,,
32339,2020,16,FAS-PolSci,No Major,,
36041,2023,7,No Major,No Major,BB,F
34879,2022,11,MSS,No Major,,
33589,2021,25,MSS,No Major,,
34880,2022,19,Biology,No Major,,
32770,2020,37,Management,No Major,,
37003,2023,30,No Major,No Major,,
34881,2022,29,GeoSci,No Major,,
34882,2022,40,HistoryMil,No Major,,
34883,2022,33,LegalStu,No Major,,
33590,2021,31,Biology,No Major,,
36043,2023,4,No Major,No Major,LX,M
36796,2023,10,No Major,No Major,FB,M
33591,2021,11,Physics,No Major,TR,M
32188,2020,27,AeroEngr,MathApp,,
36637,2023,16,No Major,No Major,,
36044,2023,17,No Major,No Major,SW,F
36045,2023,37,No Major,No Major,BX,M
33592,2021,8,GeoSci,No Major,,
35252,2023,35,No Major,No Major,,
36638,2023,26,No Major,No Major,,
33593,2021,2,BehSci,No Major,TN,M
33594,2021,37,AstroEngr,No Major,,
34884,2022,9,Management,No Major,,
36046,2023,33,No Major,No Major,,
34282,2021,26,GeoSci,No Major,,
36852,2023,36,No Major,No Major,,
35417,2022,5,Management,No Major,,
34283,2021,36,Management,No Major,,
32522,2020,24,Management,No Major,,
34885,2022,39,AeroEngr,No Major,,
33596,2021,8,Philosophy,No Major,,
34886,2022,15,Physics,No Major,,
36639,2023,7,No Major,No Major,,
34887,2022,20,Management,No Major,,
35548,2022,1,No Major,No Major,FB,M
36047,2023,12,No Major,No Major,,
34888,2022,30,CompSci,No Major,,
32771,2020,20,GenStu-EO,No Major,,
37004,2023,40,No Major,No Major,BB,F
33597,2021,18,BehSci,No Major,,
34632,2022,18,No Major,No Major,,
32688,2020,8,SysEngr,No Major,DV,F
36048,2023,27,No Major,No Major,,
32203,2020,9,FAS-PolSci,No Major,,
34890,2022,4,MechEngr,No Major,GY,M
36640,2023,37,No Major,No Major,TR,F
33598,2021,28,FAS-PolSci,No Major,,
36641,2023,20,No Major,No Major,FB,M
35571,2022,4,No Major,No Major,,
32772,2020,8,AeroEngr,No Major,,
32204,2020,7,Biology,No Major,,
36642,2023,14,No Major,No Major,SO,M
33599,2021,18,MSS,No Major,,
33600,2021,28,CompSci,No Major,,
37005,2023,1,No Major,No Major,SO,M
37006,2023,25,No Major,No Major,BB,M
32567,2020,4,BehSci,No Major,,
36050,2023,8,No Major,No Major,,
35572,2022,12,CivEngr,No Major,RI,F
32205,2020,23,SysEngr,No Major,,
33602,2021,38,Biology,No Major,,
32568,2020,6,OpsRsch,No Major,,
34892,2022,21,No Major,No Major,,
36168,2023,24,No Major,No Major,WR,M
36169,2023,27,No Major,No Major,,
33603,2021,12,Management,No Major,WP,M
36170,2023,34,No Major,No Major,WP,M
36171,2023,18,No Major,No Major,,
36643,2023,37,No Major,No Major,,
36644,2023,16,No Major,No Major,,
34893,2022,34,BehSci,No Major,,
31905,2020,5,Economics,No Major,,
36172,2023,17,No Major,No Major,,
37007,2023,11,No Major,No Major,,
31906,2020,39,Management,No Major,,
37008,2023,35,No Major,No Major,,
32621,2020,18,SysEngr,No Major,,
33604,2021,2,MSS,No Major,,
36173,2023,8,No Major,No Major,,
36174,2023,18,No Major,No Major,,
33605,2021,26,GeoSci,No Major,,
34894,2022,7,ElCompEngr,No Major,,
31907,2020,28,BehSci,No Major,,
36175,2023,28,No Major,No Major,,
33606,2021,6,BehSci,No Major,,
36176,2023,38,No Major,No Major,,
34284,2021,26,Management,No Major,FB,M
32340,2020,16,FAS-PolSci,No Major,,
35253,2022,6,OpsRsch,No Major,,
37079,2023,28,No Major,No Major,,
34895,2022,21,BioChem,No Major,,
34896,2022,31,Management,No Major,VB,F
37009,2023,21,No Major,No Major,FB,M
32773,2020,20,Management,No Major,,
33607,2021,9,Management,No Major,,
32189,2020,25,SysEngr,No Major,,
33608,2021,19,Biology,No Major,,
32190,2020,31,HistoryMil,No Major,,
33609,2021,29,OpsRsch,No Major,,
36645,2023,38,No Major,No Major,,
32191,2020,30,CivEngr,No Major,,
36853,2023,4,No Major,No Major,FB,M
34897,2022,4,No Major,No Major,,
34898,2022,23,No Major,No Major,,
37170,2021,23,No Major,No Major,,
34899,2022,29,AeroEngr,No Major,CL,F
33610,2021,8,LegalStu,No Major,,
33611,2021,36,FAS-PolSci,No Major,,
33612,2021,38,GeoSci,No Major,,
34900,2022,7,No Major,No Major,FB,M
33613,2021,9,Math,No Major,,
34901,2022,24,No Major,No Major,,
35736,2022,20,BehSci,No Major,BX,M
32207,2020,38,MechEngr,No Major,,
37011,2023,9,No Major,No Major,,
33614,2021,27,AeroEngr,No Major,,
31908,2020,6,MechEngr,No Major,,
36177,2023,9,No Major,No Major,,
36178,2023,19,No Major,No Major,,
35254,2022,15,FAS-MSS,No Major,,
35255,2022,16,No Major,No Major,SO,F
33615,2021,30,SysEngr,No Major,,
34902,2022,25,PolSci,No Major,,
31909,2020,9,BioChem,No Major,,
33616,2021,39,Biology,No Major,,
36179,2023,29,No Major,No Major,,
33617,2021,32,Management,No Major,LX,M
36180,2023,39,No Major,No Major,,
36181,2023,9,No Major,No Major,,
32569,2020,4,CivEngr,No Major,,
36182,2023,2,No Major,No Major,CL,M
34903,2022,35,MSS,No Major,CL,F
34904,2022,31,AeroEngr,No Major,,
33618,2021,16,OpsRsch,No Major,,
31910,2020,19,BehSci,No Major,CL,F
32208,2020,39,GeoSci,No Major,,
33473,2021,3,Physics,No Major,,
31911,2020,29,CivEngr,No Major,,
34905,2022,6,No Major,No Major,,
36646,2023,19,No Major,No Major,,
36647,2023,10,No Major,No Major,,
32692,2020,4,Meteor,No Major,,
37012,2023,12,No Major,No Major,FB,M
36183,2023,34,No Major,No Major,,
31912,2020,15,FAS-PolSci,No Major,,
34906,2022,14,AeroEngr,No Major,SW,M
32209,2020,40,Economics,No Major,,
34907,2022,7,AeroEngr,No Major,,
36854,2023,30,No Major,No Major,FB,M
32775,2020,26,Management,No Major,SO,F
34762,2022,12,FAS-PolSci,No Major,,
30681,2020,14,CompSci,No Major,,
33474,2021,24,Management,No Major,,
31913,2020,20,BehSci,No Major,CL,F
34285,2021,30,Management,No Major,,
34763,2022,9,No Major,No Major,,
35573,2022,24,No Major,No Major,FB,M
34050,2021,8,AeroEngr,No Major,,
34764,2022,22,AeroEngr,No Major,,
36648,2023,22,No Major,No Major,,
36184,2023,20,No Major,No Major,FB,M
36185,2023,30,No Major,No Major,,
35257,2022,8,CyberSci,No Major,,
35574,2022,34,No Major,No Major,FB,M
34765,2022,32,No Major,No Major,,
34766,2022,26,No Major,No Major,,
33477,2021,1,Management,No Major,,
37013,2023,6,No Major,No Major,BX,M
32777,2020,36,BehSci,No Major,CL,M
34767,2022,13,FAS-Hist,No Major,,
33478,2021,14,AeroEngr,No Major,,
32778,2020,24,SysEngr,No Major,,
35575,2022,39,No Major,No Major,CL,F
35576,2022,33,MechEngr,No Major,WR,M
36186,2023,40,No Major,No Major,,
33479,2021,25,AeroEngr,No Major,,
36187,2023,27,No Major,No Major,,
34768,2022,5,No Major,No Major,,
33481,2021,12,BehSci,No Major,,
33482,2021,36,Meteor,No Major,CL,M
35765,2022,25,BehSci,No Major,,
36188,2023,32,No Major,No Major,,
37014,2023,5,No Major,No Major,TN,M
36189,2023,29,No Major,No Major,,
33483,2021,10,Management,No Major,BB,F
34287,2021,23,OpsRsch,No Major,BA,M
31914,2020,27,PolSci,No Major,,
37015,2023,22,No Major,No Major,FB,M
36649,2023,1,No Major,No Major,,
33484,2021,4,Biology,No Major,,
35577,2022,22,BehSci,No Major,,
34769,2022,4,FAS-PolSci,PolSci,TR,M
34770,2022,36,Biology,No Major,,
32779,2020,30,Management,No Major,FB,M
31916,2020,2,Management,No Major,,
33485,2021,5,PolSci,No Major,,
32780,2020,30,English,No Major,TR,F
34771,2022,31,BehSci,No Major,DV,F
33486,2021,3,CompSci,No Major,,
36797,2023,40,No Major,No Major,FB,M
32781,2020,20,Economics,No Major,,
31917,2020,7,Management,No Major,TR,M
31918,2020,34,Management,No Major,,
34772,2022,9,FAS-PolSci,No Major,,
34288,2021,7,Management,No Major,,
32782,2020,20,SysEngr,No Major,,
35578,2022,17,No Major,No Major,,
36650,2023,1,No Major,No Major,FB,M
34773,2022,5,Management,No Major,,
34289,2021,14,Management,No Major,FB,M
34774,2022,23,BioChem,No Major,,
34290,2021,38,CivEngr,No Major,FB,M
35259,2022,25,No Major,No Major,,
34775,2022,35,No Major,No Major,,
32341,2020,32,MechEngr,No Major,,
37016,2023,16,No Major,No Major,BB,M
34776,2022,14,CompSci,No Major,FB,M
32342,2020,26,MSS,No Major,,
34777,2022,27,GeoSci,No Major,,
32287,2020,10,Physics,No Major,,
33488,2021,19,FAS-PolSci,No Major,,
33489,2021,20,Management,No Major,CL,F
32570,2020,27,Biology,No Major,IH,M
34291,2021,18,Management,No Major,SO,F
35579,2022,15,PolSci,No Major,,
35260,2022,33,SpaceOps,No Major,,
34778,2022,26,PolSci,No Major,,
32343,2020,1,Management,No Major,,
33490,2021,22,AeroEngr,No Major,,
36651,2023,37,No Major,No Major,,
37017,2023,26,No Major,No Major,FB,M
32210,2020,4,FAS-MSS,No Major,,
32344,2020,37,OpsRsch,No Major,,
36191,2023,25,No Major,No Major,DV,M
36233,2023,26,No Major,No Major,SW,F
35580,2022,36,MSS,No Major,,
34779,2022,14,Economics,No Major,,
36234,2023,8,No Major,No Major,GY,M
34415,2021,33,GeoSci,No Major,WR,M
31921,2020,24,AstroEngr,No Major,,
35418,2022,5,No Major,No Major,,
33492,2021,30,Physics,No Major,,
37018,2023,32,No Major,No Major,,
33493,2021,26,Physics,No Major,,
33494,2021,22,LegalStu,Philosophy,,
33495,2021,32,Biology,No Major,,
36235,2023,10,No Major,No Major,,
36236,2023,14,No Major,No Major,,
36237,2023,11,No Major,No Major,,
36238,2023,8,No Major,No Major,,
34292,2021,36,BehSci,No Major,FB,M
31922,2020,25,MechEngr,No Major,,
32345,2020,34,AeroEngr,No Major,,
33496,2021,5,MechEngr,No Major,,
32694,2020,7,Management,No Major,FB,M
34780,2022,14,Management,No Major,LX,M
32571,2020,2,GenStu-EO,No Major,,
36239,2023,29,No Major,No Major,,
32783,2020,17,Management,No Major,,
36652,2023,31,No Major,No Major,FB,M
34781,2022,16,No Major,No Major,SW,F
34782,2022,24,Philosophy,No Major,WR,M
37080,2023,5,No Major,No Major,FB,M
36240,2023,32,No Major,No Major,,
32212,2020,27,AstroEngr,No Major,,
31923,2020,1,Management,No Major,FB,M
36241,2023,24,No Major,No Major,,
34783,2022,15,AeroEngr,No Major,,
36242,2023,20,No Major,No Major,SW,F
37081,2023,12,No Major,No Major,,
36653,2023,35,No Major,No Major,CC,M
33498,2021,40,PolSci,No Major,,
33499,2021,4,OpsRsch,No Major,TR,M
36654,2023,21,No Major,No Major,,
33500,2021,14,HistoryMil,No Major,WR,M
37082,2023,16,No Major,No Major,SO,M
37020,2023,36,No Major,No Major,FB,M
36243,2023,22,No Major,No Major,,
33502,2021,11,AeroEngr,No Major,,
37083,2023,2,No Major,No Major,,
35581,2022,10,No Major,No Major,,
34784,2022,6,AeroEngr,No Major,,
33503,2021,3,Management,No Major,,
33504,2021,38,OpsRsch,No Major,,
32288,2020,25,CivEngr,No Major,,
34785,2022,25,MSS,No Major,,
31924,2020,39,FAS-PolSci,No Major,,
33505,2021,2,Management,No Major,,
33506,2021,24,LegalStu,No Major,,
36244,2023,30,No Major,No Major,,
34786,2022,24,BioChem,No Major,WP,M
36245,2023,3,No Major,No Major,,
35479,2022,39,HistoryMil,No Major,BB,F
32873,2020,27,Management,No Major,FB,M
35582,2022,37,Biology,No Major,,
37157,2021,15,No Major,No Major,,
33507,2021,14,AeroEngr,No Major,,
33508,2021,13,SysEngr,No Major,TN,F
32572,2020,15,SysEngr,No Major,,
33509,2021,39,FAS-PolSci,No Major,,
32874,2020,37,Management,No Major,,
33510,2021,23,ElEngr,No Major,,
37021,2023,31,No Major,No Major,,
31925,2020,40,Economics,No Major,BA,M
32346,2020,17,CivEngr,No Major,,
35261,2022,35,AeroEngr,No Major,,
31926,2020,33,CivEngr,No Major,,
34787,2022,35,No Major,No Major,,
31927,2020,14,Management,No Major,,
36246,2023,18,No Major,No Major,,
34788,2022,16,Biology,No Major,,
33511,2021,1,Biology,No Major,,
34294,2021,40,Economics,No Major,BB,M
35583,2022,6,LegalStu,No Major,,
35584,2022,3,No Major,No Major,VB,F
33512,2021,33,OpsRsch,No Major,,
33513,2021,24,PolSci,No Major,WR,M
34295,2021,7,Management,No Major,,
36655,2023,28,No Major,No Major,,
34296,2021,37,Management,No Major,,
31928,2020,25,SysEngr,No Major,,
34297,2021,3,SysEngr,No Major,,
35262,2022,16,No Major,No Major,,
32875,2020,36,Management,No Major,,
32347,2020,1,Management,No Major,BB,M
36656,2023,13,No Major,No Major,,
37198,2020,13,No Major,No Major,,
35737,2022,8,No Major,No Major,FB,M
34790,2022,25,Biology,No Major,,
32213,2020,22,PolSci,No Major,,
34791,2022,7,EngrChem,No Major,,
34792,2022,26,AstroEngr,No Major,,
37022,2023,3,No Major,No Major,FB,M
35757,2022,36,ElCompEngr,No Major,,
37023,2023,28,No Major,No Major,LX,M
37199,2020,16,No Major,No Major,,
36657,2023,25,No Major,No Major,FN,F
35263,2022,5,Management,No Major,,
36658,2023,23,No Major,No Major,,
34793,2022,8,No Major,No Major,,
36247,2023,40,No Major,No Major,SO,F
36659,2023,38,No Major,No Major,LX,M
34298,2021,17,MSS,No Major,,
34794,2022,11,CyberSci,CompSci,,
34051,2021,11,OpsRsch,No Major,SO,F
37200,2020,37,No Major,No Major,,
37127,2023,2,No Major,No Major,FB,M
31929,2020,25,CompSci,No Major,,
32524,2020,20,Management,No Major,WP,M
34795,2022,2,BehSci,No Major,,
33515,2021,19,MSS,No Major,,
33516,2021,29,Math,CompSci,,
33517,2021,10,MSS,No Major,,
35419,2022,18,No Major,No Major,,
33519,2021,37,Economics,No Major,,
36888,2023,13,No Major,No Major,FB,M
36248,2023,10,No Major,No Major,,
34797,2022,2,No Major,No Major,TR,M
33520,2021,31,GeoSci,No Major,TR,M
36660,2023,1,No Major,No Major,,
34798,2022,28,BioChem,No Major,VB,F
33522,2021,25,AeroEngr,No Major,,
34799,2022,17,ElCompEngr,No Major,,
31930,2020,30,Management,No Major,BA,M
33523,2021,27,GeoSci,No Major,,
32525,2020,9,CivEngr,No Major,,
35585,2022,25,No Major,No Major,,
37085,2023,15,No Major,No Major,FB,M
36249,2023,11,No Major,No Major,DV,F
36798,2023,12,No Major,No Major,FB,M
36250,2023,33,No Major,No Major,,
33524,2021,23,Management,No Major,,
34800,2022,17,CivEngr,No Major,,
32876,2020,27,PolSci,No Major,,
33525,2021,25,GeoSci,No Major,,
33526,2021,32,Management,No Major,IH,M
33527,2021,21,Management,No Major,SO,M
34801,2022,38,No Major,No Major,TN,F
36889,2023,17,No Major,No Major,,
32215,2020,34,BehSci,No Major,,
36251,2023,38,No Major,No Major,,
36252,2023,4,No Major,No Major,,
32877,2020,6,SysEngr,No Major,,
33528,2021,21,AeroEngr,MechEngr,,
33529,2021,9,AeroEngr,No Major,,
34802,2022,35,LegalStu,No Major,,
33530,2021,15,Economics,No Major,,
31932,2020,9,Management,No Major,,
35586,2022,10,FAS-MSS,No Major,,
34803,2022,27,MathApp,No Major,,
35264,2022,19,BioChem,No Major,,
31933,2020,1,BehSci,No Major,,
33531,2021,34,OpsRsch,No Major,BX,M
34804,2022,29,No Major,No Major,TR,F
36253,2023,14,No Major,No Major,,
33532,2021,24,BehSci,No Major,FB,M
36254,2023,9,No Major,No Major,,
33533,2021,33,Biology,No Major,,
33534,2021,4,Economics,No Major,,
34805,2022,6,PolSci,No Major,,
32941,2020,24,BehSci,No Major,,
36255,2023,19,No Major,No Major,,
34806,2022,15,Economics,No Major,,
33536,2021,14,AeroEngr,No Major,FN,M
33537,2021,22,Management,No Major,TN,M
32574,2020,10,Economics,No Major,,
32216,2020,14,Biology,No Major,,
34807,2022,26,MechEngr,No Major,,
34808,2022,36,ElCompEngr,No Major,,
36770,2023,26,No Major,No Major,,
33538,2021,29,OpsRsch,No Major,,
36661,2023,29,No Major,No Major,,
33539,2021,34,Biology,No Major,,
32526,2020,16,AstroEngr,No Major,,
33540,2021,5,OpsRsch,No Major,FN,M
34809,2022,1,No Major,No Major,SO,F
36256,2023,24,No Major,No Major,,
36257,2023,22,No Major,No Major,FB,M
33541,2021,21,OpsRsch,No Major,VB,F
35738,2022,26,Management,No Major,FB,M
32217,2020,35,HistoryAme,No Major,,
32291,2020,11,Management,No Major,FB,M
33542,2021,4,BehSci,No Major,,
34810,2022,20,No Major,No Major,,
36258,2023,9,No Major,No Major,FN,M
35587,2022,20,Management,No Major,BB,M
34811,2022,37,No Major,No Major,,
34812,2022,27,FAS-MSS,No Major,,
31934,2020,35,PolSci,No Major,,
36259,2023,27,No Major,No Major,,
33544,2021,34,CompSci,No Major,,
34299,2021,27,MSS,No Major,FB,M
34813,2022,39,AstroEngr,No Major,,
33545,2021,31,PolSci,No Major,GY,F
33546,2021,20,CivEngr,No Major,,
36890,2023,37,No Major,No Major,TN,M
34814,2022,9,No Major,No Major,TR,M
34815,2022,18,No Major,No Major,,
36260,2023,21,No Major,No Major,,
33547,2021,15,Biology,No Major,,
36261,2023,34,No Major,No Major,,
32878,2020,35,Management,No Major,,
36262,2023,20,No Major,No Major,,
32219,2020,18,SysEngr,No Major,,
32695,2020,37,FAS-MSS,No Major,,
33549,2021,13,AeroEngr,No Major,,
34818,2022,1,BioChem,No Major,SO,F
34052,2021,25,Management,No Major,IH,M
32622,2020,40,AstroEngr,No Major,,
36263,2023,5,No Major,No Major,,
36662,2023,15,No Major,No Major,,
28745,2018,13,MechEngr,No Major,,
32575,2020,13,OpsRsch,No Major,,
36771,2023,25,No Major,No Major,,
36799,2023,19,No Major,No Major,IH,M
34819,2022,38,SpaceOps,No Major,,
34820,2022,10,Economics,No Major,,
