Cadet PID,Year,Squadron,Major,Sec Major,Sport Code,Sport Gender
33167,2021,2,SysEngr,No Major,,
35998,2023,1,No Major,No Major,FB,M
34568,2022,7,No Major,No Major,TN,M
34569,2022,11,FAS-PolSci,No Major,,
35622,2022,39,Management,No Major,GO,M
32168,2020,11,Biology,No Major,,
36573,2023,6,No Major,No Major,,
32169,2021,31,Management,No Major,,
34570,2022,35,LegalStu,No Major,,
33169,2021,36,Philosophy,No Major,,
35999,2023,11,No Major,No Major,,
34571,2022,25,CompSci,No Major,,
36000,2023,1,No Major,No Major,,
31708,2020,31,CompSci,AstroEngr,,
34180,2021,7,CivEngr,No Major,TR,M
32170,2020,40,MechEngr,No Major,,
32722,2020,10,Economics,No Major,FB,M
33171,2021,22,BehSci,No Major,,
33172,2021,23,Economics,No Major,,
35623,2022,1,Management,No Major,,
36001,2023,16,No Major,No Major,,
36002,2023,11,No Major,No Major,SO,F
33173,2021,32,AstroEngr,No Major,,
34035,2021,21,CompSci,No Major,,
36003,2023,26,No Major,No Major,,
33174,2021,3,FAS-PolSci,No Major,,
32932,2020,2,AeroEngr,No Major,,
34572,2022,18,Physics,No Major,,
36946,2023,40,No Major,No Major,CL,M
32724,2020,30,History,No Major,,
36004,2023,7,No Major,No Major,,
37074,2023,14,No Major,No Major,BB,M
34573,2022,14,CivEngr,No Major,,
33176,2021,13,BehSci,No Major,GY,F
36005,2023,27,No Major,No Major,,
36006,2023,26,No Major,No Major,SW,M
33177,2021,25,MechEngr,No Major,,
36007,2023,21,No Major,No Major,,
34574,2022,10,No Major,No Major,SW,F
34575,2022,18,No Major,No Major,GY,F
34576,2022,5,No Major,No Major,,
31711,2020,39,Economics,No Major,,
33178,2021,1,Management,No Major,FB,M
35624,2022,31,No Major,No Major,WR,M
34577,2022,40,ElCompEngr,No Major,SO,M
32368,2020,22,SysEngr,No Major,FB,M
34578,2022,28,PolSci,No Major,,
32725,2020,20,MSS,No Major,,
32002,2020,30,Economics,No Major,BB,M
32669,2020,23,AstroEngr,No Major,,
32498,2020,8,GeoSci,No Major,,
36575,2023,37,No Major,No Major,,
34579,2022,17,CompSci,No Major,,
34580,2022,38,CivEngr,No Major,,
32171,2020,22,SysEngr,No Major,,
33180,2021,34,Biology,No Major,TR,F
35625,2022,22,AstroEngr,No Major,BX,M
33181,2021,38,Management,No Major,,
34182,2021,30,English,No Major,,
33182,2021,9,Economics,No Major,,
33183,2021,23,CivEngr,No Major,,
33184,2021,12,MSS,No Major,,
33185,2021,32,OpsRsch,No Major,,
36009,2023,8,No Major,No Major,,
35912,2023,16,No Major,No Major,SW,M
35913,2023,7,No Major,No Major,SW,M
35914,2023,18,No Major,No Major,,
32670,2020,28,CompSci,No Major,,
36576,2023,31,No Major,No Major,,
36947,2023,6,No Major,No Major,,
35915,2023,9,No Major,No Major,,
32369,2020,3,Management,No Major,,
35916,2023,29,No Major,No Major,,
32003,2020,5,Management,No Major,,
32370,2020,40,BehSci,No Major,,
36577,2023,38,No Major,No Major,TR,M
35917,2023,39,No Major,No Major,BA,M
34583,2022,18,Biology,No Major,,
32371,2020,12,Economics,No Major,,
33186,2021,16,CivEngr,No Major,TN,M
32004,2020,23,Management,No Major,,
